SnapshotDate,SnapshotDateKey,LoanID,PoolID,DPD_Days,DPD_Bucket,DPD_Bucket_Prior,RollFlag,CurrentBalance,RBI_SMA_Class,CureFlag,RepossessionFlag,WriteOffFlag
2023-11-30,20231130,L2400000,ZAAUTO2024-1,150,90+ DPD,Current,Same,148240.28,NPA,False,False,False
2023-12-30,20231230,L2400000,ZAAUTO2024-1,150,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-01-30,20240130,L2400000,ZAAUTO2024-1,150,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-02-29,20240229,L2400000,ZAAUTO2024-1,120,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-03-30,20240330,L2400000,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-04-30,20240430,L2400000,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-05-30,20240530,L2400000,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-06-30,20240630,L2400000,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,148240.28,NPA,False,False,False
2024-07-30,20240730,L2400000,ZAAUTO2024-1,60,60-89 DPD,90+ DPD,Backward Roll,148240.28,SMA-1,False,False,False
2024-08-30,20240830,L2400000,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,148240.28,SMA-0,False,False,False
2024-09-30,20240930,L2400000,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,148240.28,Standard,True,False,False
2024-10-30,20241030,L2400000,ZAAUTO2024-1,0,Current,Current,Same,148240.28,Standard,False,False,False
2023-11-30,20231130,L2400001,ZAAUTO2024-1,60,60-89 DPD,Current,Same,338910.76,SMA-1,False,False,False
2023-12-30,20231230,L2400001,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,338910.76,SMA-1,False,False,False
2024-01-30,20240130,L2400001,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,338910.76,SMA-1,False,False,False
2024-02-29,20240229,L2400001,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,338910.76,SMA-0,False,False,False
2024-03-30,20240330,L2400001,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,338910.76,SMA-0,False,False,False
2024-04-30,20240430,L2400001,ZAAUTO2024-1,60,60-89 DPD,30-59 DPD,Forward Roll,338910.76,SMA-1,False,False,False
2024-05-30,20240530,L2400001,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,338910.76,SMA-1,False,False,False
2024-06-30,20240630,L2400001,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,338910.76,SMA-1,False,False,False
2024-07-30,20240730,L2400001,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,338910.76,SMA-0,False,False,False
2024-08-30,20240830,L2400001,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,338910.76,SMA-0,False,False,False
2024-09-30,20240930,L2400001,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,338910.76,SMA-0,False,False,False
2024-10-30,20241030,L2400001,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,338910.76,Standard,True,False,False
2023-11-30,20231130,L2400002,ZAAUTO2024-1,0,Current,Current,Same,333340.97,Standard,False,False,False
2023-12-30,20231230,L2400002,ZAAUTO2024-1,0,Current,Current,Same,333340.97,Standard,False,False,False
2024-01-30,20240130,L2400002,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,333340.97,SMA-0,False,False,False
2024-02-29,20240229,L2400002,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,333340.97,Standard,True,False,False
2024-03-30,20240330,L2400002,ZAAUTO2024-1,0,Current,Current,Same,333340.97,Standard,False,False,False
2024-04-30,20240430,L2400002,ZAAUTO2024-1,0,Current,Current,Same,333340.97,Standard,False,False,False
2024-05-30,20240530,L2400002,ZAAUTO2024-1,8,1-29 DPD,Current,Forward Roll,333340.97,SMA-0,False,False,False
2024-06-30,20240630,L2400002,ZAAUTO2024-1,8,1-29 DPD,1-29 DPD,Same,333340.97,SMA-0,False,False,False
2024-07-30,20240730,L2400002,ZAAUTO2024-1,38,30-59 DPD,1-29 DPD,Forward Roll,333340.97,SMA-1,False,False,False
2024-08-30,20240830,L2400002,ZAAUTO2024-1,38,30-59 DPD,30-59 DPD,Same,333340.97,SMA-1,False,False,False
2024-09-30,20240930,L2400002,ZAAUTO2024-1,8,1-29 DPD,30-59 DPD,Backward Roll,333340.97,SMA-0,False,False,False
2024-10-30,20241030,L2400002,ZAAUTO2024-1,38,30-59 DPD,1-29 DPD,Forward Roll,333340.97,SMA-1,False,False,False
2023-11-30,20231130,L2400003,ZAAUTO2024-1,30,30-59 DPD,Current,Same,925971.6,SMA-0,False,False,False
2023-12-30,20231230,L2400003,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,925971.6,Standard,True,False,False
2024-01-30,20240130,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-02-29,20240229,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-03-30,20240330,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-04-30,20240430,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-05-30,20240530,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-06-30,20240630,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-07-30,20240730,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2024-08-30,20240830,L2400003,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,925971.6,SMA-0,False,False,False
2024-09-30,20240930,L2400003,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,925971.6,Standard,True,False,False
2024-10-30,20241030,L2400003,ZAAUTO2024-1,0,Current,Current,Same,925971.6,Standard,False,False,False
2023-11-30,20231130,L2400004,ZAAUTO2024-1,30,30-59 DPD,Current,Same,1249184.28,SMA-0,False,False,False
2023-12-30,20231230,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-01-30,20240130,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-02-29,20240229,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-03-30,20240330,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-04-30,20240430,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-05-30,20240530,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-06-30,20240630,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-07-30,20240730,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-08-30,20240830,L2400004,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1249184.28,SMA-0,False,False,False
2024-09-30,20240930,L2400004,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1249184.28,Standard,True,False,False
2024-10-30,20241030,L2400004,ZAAUTO2024-1,0,Current,Current,Same,1249184.28,Standard,False,False,False
2023-11-30,20231130,L2400005,ZAAUTO2024-1,60,60-89 DPD,Current,Same,986393.6,SMA-1,False,False,False
2023-12-30,20231230,L2400005,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,986393.6,SMA-1,False,False,False
2024-01-30,20240130,L2400005,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,986393.6,SMA-0,False,False,False
2024-02-29,20240229,L2400005,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,986393.6,Standard,True,False,False
2024-03-30,20240330,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-04-30,20240430,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-05-30,20240530,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-06-30,20240630,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-07-30,20240730,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-08-30,20240830,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-09-30,20240930,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2024-10-30,20241030,L2400005,ZAAUTO2024-1,0,Current,Current,Same,986393.6,Standard,False,False,False
2023-11-30,20231130,L2400006,ZAAUTO2024-1,120,90+ DPD,Current,Same,1783280.28,NPA,False,True,False
2023-12-30,20231230,L2400006,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,1783280.28,NPA,False,False,False
2024-01-30,20240130,L2400006,ZAAUTO2024-1,60,60-89 DPD,90+ DPD,Backward Roll,1783280.28,SMA-1,False,False,False
2024-02-29,20240229,L2400006,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,1783280.28,SMA-0,False,False,False
2024-03-30,20240330,L2400006,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1783280.28,SMA-0,False,False,False
2024-04-30,20240430,L2400006,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1783280.28,SMA-0,False,False,False
2024-05-30,20240530,L2400006,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1783280.28,SMA-0,False,False,False
2024-06-30,20240630,L2400006,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1783280.28,SMA-0,False,False,False
2024-07-30,20240730,L2400006,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1783280.28,Standard,True,False,False
2024-08-30,20240830,L2400006,ZAAUTO2024-1,0,Current,Current,Same,1783280.28,Standard,False,False,False
2024-09-30,20240930,L2400006,ZAAUTO2024-1,0,Current,Current,Same,1783280.28,Standard,False,False,False
2024-10-30,20241030,L2400006,ZAAUTO2024-1,0,Current,Current,Same,1783280.28,Standard,False,False,False
2023-11-30,20231130,L2400007,ZAAUTO2024-1,90,90+ DPD,Current,Same,1176915.89,NPA,False,False,False
2023-12-30,20231230,L2400007,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,1176915.89,NPA,False,False,False
2024-01-30,20240130,L2400007,ZAAUTO2024-1,60,60-89 DPD,90+ DPD,Backward Roll,1176915.89,SMA-1,False,False,False
2024-02-29,20240229,L2400007,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,1176915.89,SMA-1,False,False,False
2024-03-30,20240330,L2400007,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,1176915.89,SMA-1,False,False,False
2024-04-30,20240430,L2400007,ZAAUTO2024-1,60,60-89 DPD,60-89 DPD,Same,1176915.89,SMA-1,False,False,False
2024-05-30,20240530,L2400007,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,1176915.89,SMA-0,False,False,False
2024-06-30,20240630,L2400007,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1176915.89,SMA-0,False,False,False
2024-07-30,20240730,L2400007,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1176915.89,SMA-0,False,False,False
2024-08-30,20240830,L2400007,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1176915.89,SMA-0,False,False,False
2024-09-30,20240930,L2400007,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1176915.89,Standard,True,False,False
2024-10-30,20241030,L2400007,ZAAUTO2024-1,0,Current,Current,Same,1176915.89,Standard,False,False,False
2023-11-30,20231130,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2023-12-30,20231230,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-01-30,20240130,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-02-29,20240229,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-03-30,20240330,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-04-30,20240430,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-05-30,20240530,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-06-30,20240630,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-07-30,20240730,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-08-30,20240830,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-09-30,20240930,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2024-10-30,20241030,L2400008,ZAAUTO2024-1,0,Current,Current,Same,1237968.43,Standard,False,False,False
2023-11-30,20231130,L2400009,ZAAUTO2024-1,30,30-59 DPD,Current,Same,294107.2,SMA-0,False,False,False
2023-12-30,20231230,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-01-30,20240130,L2400009,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,294107.2,Standard,True,False,False
2024-02-29,20240229,L2400009,ZAAUTO2024-1,0,Current,Current,Same,294107.2,Standard,False,False,False
2024-03-30,20240330,L2400009,ZAAUTO2024-1,0,Current,Current,Same,294107.2,Standard,False,False,False
2024-04-30,20240430,L2400009,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,294107.2,SMA-0,False,False,False
2024-05-30,20240530,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-06-30,20240630,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-07-30,20240730,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-08-30,20240830,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-09-30,20240930,L2400009,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,294107.2,SMA-0,False,False,False
2024-10-30,20241030,L2400009,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,294107.2,Standard,True,False,False
2023-11-30,20231130,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2023-12-30,20231230,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-01-30,20240130,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-02-29,20240229,L2400010,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,221665.05,SMA-0,False,False,False
2024-03-30,20240330,L2400010,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,221665.05,SMA-0,False,False,False
2024-04-30,20240430,L2400010,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,221665.05,Standard,True,False,False
2024-05-30,20240530,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-06-30,20240630,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-07-30,20240730,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-08-30,20240830,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-09-30,20240930,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2024-10-30,20241030,L2400010,ZAAUTO2024-1,0,Current,Current,Same,221665.05,Standard,False,False,False
2023-11-30,20231130,L2400011,ZAAUTO2024-1,30,30-59 DPD,Current,Same,177096.0,SMA-0,False,False,False
2023-12-30,20231230,L2400011,ZAAUTO2024-1,60,60-89 DPD,30-59 DPD,Forward Roll,177096.0,SMA-1,False,False,False
2024-01-30,20240130,L2400011,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,177096.0,SMA-0,False,False,False
2024-02-29,20240229,L2400011,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,177096.0,Standard,True,False,False
2024-03-30,20240330,L2400011,ZAAUTO2024-1,0,Current,Current,Same,177096.0,Standard,False,False,False
2024-04-30,20240430,L2400011,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,177096.0,SMA-0,False,False,False
2024-05-30,20240530,L2400011,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,177096.0,SMA-0,False,False,False
2024-06-30,20240630,L2400011,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,177096.0,SMA-0,False,False,False
2024-07-30,20240730,L2400011,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,177096.0,SMA-0,False,False,False
2024-08-30,20240830,L2400011,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,177096.0,SMA-0,False,False,False
2024-09-30,20240930,L2400011,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,177096.0,SMA-0,False,False,False
2024-10-30,20241030,L2400011,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,177096.0,Standard,True,False,False
2023-11-30,20231130,L2400012,ZAAUTO2024-1,30,30-59 DPD,Current,Same,843956.13,SMA-0,False,False,False
2023-12-30,20231230,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-01-30,20240130,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-02-29,20240229,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-03-30,20240330,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-04-30,20240430,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-05-30,20240530,L2400012,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,843956.13,SMA-0,False,False,False
2024-06-30,20240630,L2400012,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,843956.13,Standard,True,False,False
2024-07-30,20240730,L2400012,ZAAUTO2024-1,0,Current,Current,Same,843956.13,Standard,False,False,False
2024-08-30,20240830,L2400012,ZAAUTO2024-1,0,Current,Current,Same,843956.13,Standard,False,False,False
2024-09-30,20240930,L2400012,ZAAUTO2024-1,0,Current,Current,Same,843956.13,Standard,False,False,False
2024-10-30,20241030,L2400012,ZAAUTO2024-1,0,Current,Current,Same,843956.13,Standard,False,False,False
2023-11-30,20231130,L2400013,ZAAUTO2024-1,120,90+ DPD,Current,Same,1181651.43,NPA,False,False,False
2023-12-30,20231230,L2400013,ZAAUTO2024-1,120,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-01-30,20240130,L2400013,ZAAUTO2024-1,120,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-02-29,20240229,L2400013,ZAAUTO2024-1,120,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-03-30,20240330,L2400013,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-04-30,20240430,L2400013,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-05-30,20240530,L2400013,ZAAUTO2024-1,90,90+ DPD,90+ DPD,Same,1181651.43,NPA,False,False,False
2024-06-30,20240630,L2400013,ZAAUTO2024-1,60,60-89 DPD,90+ DPD,Backward Roll,1181651.43,SMA-1,False,False,False
2024-07-30,20240730,L2400013,ZAAUTO2024-1,30,30-59 DPD,60-89 DPD,Backward Roll,1181651.43,SMA-0,False,False,False
2024-08-30,20240830,L2400013,ZAAUTO2024-1,30,30-59 DPD,30-59 DPD,Same,1181651.43,SMA-0,False,False,False
2024-09-30,20240930,L2400013,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1181651.43,Standard,True,False,False
2024-10-30,20241030,L2400013,ZAAUTO2024-1,0,Current,Current,Same,1181651.43,Standard,False,False,False
2023-11-30,20231130,L2400014,ZAAUTO2024-1,30,30-59 DPD,Current,Same,990772.58,SMA-0,False,False,False
2023-12-30,20231230,L2400014,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,990772.58,Standard,True,False,False
2024-01-30,20240130,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-02-29,20240229,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-03-30,20240330,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-04-30,20240430,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-05-30,20240530,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-06-30,20240630,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-07-30,20240730,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-08-30,20240830,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-09-30,20240930,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2024-10-30,20241030,L2400014,ZAAUTO2024-1,0,Current,Current,Same,990772.58,Standard,False,False,False
2023-11-30,20231130,L2400015,ZAAUTO2024-1,30,30-59 DPD,Current,Same,1422466.5,SMA-0,False,False,False
2023-12-30,20231230,L2400015,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1422466.5,Standard,True,False,False
2024-01-30,20240130,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-02-29,20240229,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-03-30,20240330,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-04-30,20240430,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-05-30,20240530,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-06-30,20240630,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-07-30,20240730,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-08-30,20240830,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-09-30,20240930,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2024-10-30,20241030,L2400015,ZAAUTO2024-1,0,Current,Current,Same,1422466.5,Standard,False,False,False
2023-11-30,20231130,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2023-12-30,20231230,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-01-30,20240130,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-02-29,20240229,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-03-30,20240330,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-04-30,20240430,L2400016,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,1565765.41,SMA-0,False,False,False
2024-05-30,20240530,L2400016,ZAAUTO2024-1,0,Current,30-59 DPD,Backward Roll,1565765.41,Standard,True,False,False
2024-06-30,20240630,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-07-30,20240730,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-08-30,20240830,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-09-30,20240930,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2024-10-30,20241030,L2400016,ZAAUTO2024-1,0,Current,Current,Same,1565765.41,Standard,False,False,False
2023-11-30,20231130,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2023-12-30,20231230,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-01-30,20240130,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-02-29,20240229,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-03-30,20240330,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-04-30,20240430,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-05-30,20240530,L2400017,ZAAUTO2024-1,0,Current,Current,Same,125676.88,Standard,False,False,False
2024-06-30,20240630,L2400017,ZAAUTO2024-1,30,30-59 DPD,Current,Forward Roll,125676.88,SMA-0,False,False,False
