LoanID,PoolID,BorrowerID,VehicleKey,GeoKey,ServicerID,OriginationDateKey,OriginationDate,OriginalLoanAmount,CurrentBalance,InterestRate,OriginalTerm,RemainingTerm,MonthsOnBook,LTV_Current,DTI_Ratio,CIBIL_Score_Orig,CIBIL_Score_Current,CIBILBand_Curr,DelinquencyDays,DPD_Bucket,IFRS9_Stage,PD_Estimate,LGD_Estimate,EAD,ECL_Provision,IsDefaulted,LossAmount,RecoveryAmount,NetLoss,PrepaymentAmount
L2400000,ZAAUTO2024-1,B2400000,0,10,SRV-HDFC,20220228,2022-02-28,403449.77,148240.28,11.76,48,16,32,65.64,28.69,735,692,Prime,0,Current,1,0.090787,0.34931,148240.28,4701.12,False,0.0,0.0,0.0,0.0
L2400001,ZAAUTO2024-1,B2400001,7,10,SRV-HDFC,20220730,2022-07-30,591016.89,338910.76,8.72,60,33,27,74.82,34.99,762,776,Excellent,0,Current,1,0.011974,0.396259,338910.76,1608.1,False,0.0,0.0,0.0,0.0
L2400002,ZAAUTO2024-1,B2400002,8,0,SRV-BAJAJ,20220730,2022-07-30,475054.49,333340.97,8.14,84,57,27,61.25,46.11,793,769,Excellent,38,30-59 DPD,2,0.12528,0.40757,333340.97,17020.49,False,0.0,0.0,0.0,0.0
L2400003,ZAAUTO2024-1,B2400003,1,14,SRV-ICICI,20240130,2024-01-30,1101286.07,925971.6,11.67,60,51,9,60.69,31.08,866,865,Excellent,0,Current,1,0.004347,0.235808,925971.6,949.13,False,0.0,0.0,0.0,0.0
L2400004,ZAAUTO2024-1,B2400004,2,8,SRV-HDFC,20210630,2021-06-30,2094419.75,1249184.28,12.18,84,44,40,73.36,41.71,848,851,Excellent,0,Current,1,0.004571,0.315261,1249184.28,1800.18,False,0.0,0.0,0.0,0.0
L2400005,ZAAUTO2024-1,B2400005,0,14,SRV-ICICI,20230830,2023-08-30,1229897.95,986393.6,8.6,72,58,14,88.16,22.16,778,775,Excellent,0,Current,1,0.012251,0.462699,986393.6,5591.35,False,0.0,0.0,0.0,0.0
L2400006,ZAAUTO2024-1,B2400006,6,8,SRV-HDFC,20230228,2023-02-28,2558970.77,1783280.28,12.52,60,40,20,76.29,26.03,816,811,Excellent,0,Current,1,0.006359,0.2934,1783280.28,3327.24,False,0.0,0.0,0.0,0.0
L2400007,ZAAUTO2024-1,B2400007,9,1,SRV-HDFC,20240229,2024-02-29,1320773.74,1176915.89,12.3,84,76,8,66.5,46.25,713,685,Prime,0,Current,1,0.102014,0.397121,1176915.89,47679.34,False,0.0,0.0,0.0,0.0
L2400008,ZAAUTO2024-1,B2400008,7,8,SRV-ICICI,20230330,2023-03-30,1984010.82,1237968.43,11.17,48,29,19,72.97,39.11,715,677,Prime,0,Current,1,0.114525,0.3118,1237968.43,44206.68,False,0.0,0.0,0.0,0.0
L2400009,ZAAUTO2024-1,B2400009,5,3,SRV-HDFC,20220930,2022-09-30,910908.7,294107.2,10.55,36,11,25,40.77,35.14,632,632,Near Prime,0,Current,1,0.163857,0.291707,294107.2,14057.8,False,0.0,0.0,0.0,0.0
L2400010,ZAAUTO2024-1,B2400010,5,7,SRV-ICICI,20210530,2021-05-30,628688.55,221665.05,9.81,60,19,41,78.54,31.09,738,761,Excellent,0,Current,1,0.017211,0.441958,221665.05,1686.06,False,0.0,0.0,0.0,0.0
L2400011,ZAAUTO2024-1,B2400011,8,0,SRV-BAJAJ,20220830,2022-08-30,364678.09,177096.0,10.59,48,22,26,77.93,29.89,755,728,Super Prime,0,Current,1,0.040847,0.373348,177096.0,2700.73,False,0.0,0.0,0.0,0.0
L2400012,ZAAUTO2024-1,B2400012,4,0,SRV-ICICI,20230930,2023-09-30,1132231.9,843956.13,14.71,48,35,13,68.82,37.96,665,614,Near Prime,0,Current,2,0.522039,0.312785,843956.13,137806.21,False,0.0,0.0,0.0,0.0
L2400013,ZAAUTO2024-1,B2400013,5,3,SRV-BAJAJ,20230630,2023-06-30,1596293.24,1181651.43,9.7,60,44,16,65.23,31.58,759,743,Super Prime,0,Current,1,0.027565,0.336714,1181651.43,10967.68,False,0.0,0.0,0.0,0.0
L2400014,ZAAUTO2024-1,B2400014,2,3,SRV-HDFC,20220130,2022-01-30,1651663.26,990772.58,12.31,72,39,33,94.0,42.03,707,723,Super Prime,0,Current,1,0.046356,0.428835,990772.58,19695.47,False,0.0,0.0,0.0,0.0
L2400015,ZAAUTO2024-1,B2400015,9,4,SRV-ICICI,20240130,2024-01-30,1643469.24,1422466.5,11.95,72,63,9,59.18,26.1,775,792,Excellent,0,Current,1,0.008592,0.310805,1422466.5,3798.5,False,0.0,0.0,0.0,0.0
L2400016,ZAAUTO2024-1,B2400016,4,2,SRV-BAJAJ,20240330,2024-03-30,1758983.56,1565765.41,8.0,84,77,7,60.49,33.29,825,823,Excellent,0,Current,1,0.005544,0.322452,1565765.41,2799.05,False,0.0,0.0,0.0,0.0
